GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mavenSample,org.diogobarbosa,App,7,0,0,0,3,0,2,0,2,0
mavenSample,org.diogobarbosa,Produto,15,0,0,0,6,0,3,0,3,0
